,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
24,0.0,Sun Jan 07 19:22:48 +0000 2018,BBC,1.0,0.0,0.0,25
25,0.0,Sun Jan 07 19:19:39 +0000 2018,BBC,1.0,0.0,0.0,26
26,-0.1531,Sun Jan 07 19:18:56 +0000 2018,BBC,0.926,0.074,0.0,27
27,0.3612,Sun Jan 07 19:00:05 +0000 2018,BBC,0.898,0.0,0.102,28
28,0.0,Sun Jan 07 18:32:03 +0000 2018,BBC,1.0,0.0,0.0,29
29,0.6369,Sun Jan 07 17:59:05 +0000 2018,BBC,0.682,0.0,0.318,30
30,0.4215,Sun Jan 07 17:19:01 +0000 2018,BBC,0.797,0.0,0.203,31
31,0.128,Sun Jan 07 16:53:27 +0000 2018,BBC,0.359,0.308,0.333,32
32,-0.0258,Sun Jan 07 16:34:03 +0000 2018,BBC,0.695,0.155,0.15,33
33,0.5859,Sun Jan 07 16:31:59 +0000 2018,BBC,0.612,0.0,0.388,34
34,0.6369,Sun Jan 07 16:31:55 +0000 2018,BBC,0.769,0.0,0.231,35
35,0.0,Sun Jan 07 16:31:45 +0000 2018,BBC,1.0,0.0,0.0,36
36,0.4019,Sun Jan 07 16:31:39 +0000 2018,BBC,0.828,0.0,0.172,37
37,0.0,Sun Jan 07 16:30:09 +0000 2018,BBC,1.0,0.0,0.0,38
38,0.0,Sun Jan 07 16:27:07 +0000 2018,BBC,1.0,0.0,0.0,39
39,0.0,Sun Jan 07 16:25:04 +0000 2018,BBC,1.0,0.0,0.0,40
40,0.4588,Mon Jan 08 07:38:10 +0000 2018,BBC,0.667,0.0,0.333,41
41,0.2263,Sun Jan 07 20:03:03 +0000 2018,BBC,0.734,0.107,0.158,42
42,0.7351,Sun Jan 07 19:30:04 +0000 2018,BBC,0.721,0.0,0.279,43
43,0.0,Sun Jan 07 19:25:10 +0000 2018,BBC,1.0,0.0,0.0,44
44,0.0,Sun Jan 07 19:22:48 +0000 2018,BBC,1.0,0.0,0.0,45
45,0.0,Sun Jan 07 19:19:39 +0000 2018,BBC,1.0,0.0,0.0,46
46,-0.1531,Sun Jan 07 19:18:56 +0000 2018,BBC,0.926,0.074,0.0,47
47,0.3612,Sun Jan 07 19:00:05 +0000 2018,BBC,0.898,0.0,0.102,48
48,0.0,Sun Jan 07 18:32:03 +0000 2018,BBC,1.0,0.0,0.0,49
49,0.6369,Sun Jan 07 17:59:05 +0000 2018,BBC,0.682,0.0,0.318,50
